引擎名称,开发公司,主要特点,CPU性能,GPU性能,跨平台支持,易用性,部署难度,适用场景,优点,缺点,推理速度(相对),模型支持,硬件要求,依赖复杂度,移动端支持,边缘设备支持,精度支持,社区活跃度,文档质量,适合初学者,生产环境推荐度

ncnn,腾讯,ARM移动端推理优化引擎,⭐⭐⭐⭐(ARM),⭐⭐,⭐⭐⭐,⭐⭐⭐,中,ARM移动端/嵌入式Linux/Android应用,"1.ARM CPU性能极佳 2.体积小无第三方依赖 3.适合Android端部署 4.国产开源中文文档 5.编译简单 6.内存占用低","1.主要支持ARM x86性能一般 2.生态相对小众 3.GPU支持有限 4.算子覆盖不如ONNX完整 5.文档相对简单",1.5-2倍(ARM),ncnn格式/ONNX(需转换),ARM CPU/Vulkan GPU,低,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,FP32/FP16/INT8,⭐⭐⭐,⭐⭐⭐,是,⭐⭐⭐⭐(ARM设备)

TensorFlow,Google,深度学习框架原生推理,⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐,中,研究开发/Google生态/生产环境,"1.Google生态完善 2.SavedModel格式便于管理 3.TF Serving部署成熟 4.支持分布式推理 5.工具链完整","1.推理速度一般 2.依赖庞大 3.API复杂 4.2.x版本兼容性问题 5.动态图性能不如PyTorch",0.5-0.8倍,TensorFlow SavedModel/Keras,CPU/NVIDIA GPU/TPU,高,⭐⭐⭐,⭐⭐⭐,FP32/FP16/BF16,⭐⭐⭐⭐,⭐⭐⭐⭐,否,⭐⭐⭐(企业环境)

MNN,阿里巴巴,轻量级端侧推理引擎,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐,中,移动端/嵌入式设备/边缘计算,"1.性能优秀支持多后端 2.支持动态shape 3.中文文档完善 4.轻量级依赖少 5.阿里生态支持","1.社区相对小 2.算子支持不如主流引擎完整 3.第三方工具少 4.主要服务阿里系产品",1.2-1.5倍,MNN格式/ONNX/TF/Caffe,CPU/GPU/NPU,中,⭐⭐⭐⭐,⭐⭐⭐⭐,FP32/FP16/INT8/INT4,⭐⭐⭐,⭐⭐⭐,是,⭐⭐⭐

Paddle Lite,百度,飞桨轻量化推理引擎,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐,中,移动端/国产硬件/边缘设备,"1.国产硬件支持好(华为NPU/瑞芯微等) 2.中文生态完善 3.模型压缩工具强 4.百度飞桨生态","1.主要服务PaddlePaddle模型 2.国际社区较小 3.非Paddle模型转换麻烦 4.文档质量参差不齐",1.0-1.3倍,PaddlePaddle格式,CPU/GPU/NPU/XPU,中,⭐⭐⭐⭐,⭐⭐⭐⭐,FP32/FP16/INT8,⭐⭐⭐,⭐⭐⭐,是,⭐⭐⭐(国产生态)

TVM,Apache社区,编译器级优化推理框架,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐,高,研究/自定义硬件/极致优化,"1.自动调优生成最优代码 2.支持各种硬件后端 3.编译器级优化 4.高度可定制 5.适合新硬件适配","1.学习曲线陡峭 2.调优时间长 3.调试困难 4.文档不够友好 5.适合专业用户",1.5-3倍(调优后),ONNX/TensorFlow/PyTorch/Keras,几乎所有硬件,高,⭐⭐,⭐⭐⭐,FP32/FP16/INT8,⭐⭐⭐,⭐⭐,否,⭐⭐⭐(专业场景)

CoreML,Apple,苹果生态推理引擎,⭐⭐⭐,⭐⭐⭐⭐,⭐(仅苹果),⭐⭐⭐⭐,低(苹果生态),iOS/macOS/Apple芯片设备,"1.苹果生态集成完美 2.Neural Engine加速 3.隐私保护好 4.功耗优化极致 5.Xcode集成方便","1.只能在苹果设备使用 2.生态封闭 3.跨平台能力差 4.模型转换可能有限制",1.5-2倍(苹果设备),CoreML格式,Apple CPU/GPU/Neural Engine,低(苹果生态),⭐⭐⭐⭐⭐,⭐⭐⭐,FP32/FP16,⭐⭐⭐,⭐⭐⭐⭐,是,⭐⭐⭐⭐⭐(苹果生态)

ONNXRuntime-Mobile,Microsoft,ONNX Runtime移动端优化版,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐,低,移动端跨平台部署,"1.继承ONNX Runtime兼容性 2.体积优化 3.跨平台(Android/iOS) 4.易于集成 5.性能均衡","1.性能不如原生优化引擎(TFLite/ncnn) 2.体积仍比纯移动端引擎大 3.移动端特性支持有限",0.8-1.0倍,ONNX格式,CPU/GPU/NPU,低,⭐⭐⭐⭐,⭐⭐⭐,FP32/FP16/INT8,⭐⭐⭐⭐,⭐⭐⭐⭐,是,⭐⭐⭐⭐(移动端)
